COD_ART;DESCRIPCION;EAN13
83-003;"DUCHA EXTERIOR C/TRANSF. ""ARUBA""";7798115110686
51-003;"COCINA MESADA ""ARUBA""";7798115110693
55-003;"COCINA PARED EMBUTIR PICO ALTO ""ARUBA""";7798115110709
90-003;PACK GRIF.ARUBA (Lavatorio-Bide-Ducha c/transf);7798115110723
20-102;"MONOCOMANDO MESADA CROMO ""RENACER""";7798115110747
31-003;CANILLA DE PARED PICO ALTO ARUBA;7798115111591
32-003;CANILLA DE PARED PICO BAJO  ARUBA;7798115111607
33-003;"CANILLA MESADA ""ARUBA""";7798115111614
70-053;BIDE CR S/SOPAPA MEDEA;7798115112451
80-053;DUCHA EMB. C/T. CR S/CAÑO BAJADA MEDEA;7798115112468
60-055;LAVATORIO CR S/SOPAPA P.CAÑO MEDEA;7798115112505
60-153;LAVATORIO CR C.CERAMICO CASTILLA;7798115112536
70-153;BIDE CR C.CERAM CASTILLA;7798115112543
80-153;DUCHA EMB. C/TRANSF. CR C.CERAM CASTILLA;7798115112550
60-196;LAVATORIO CR C.CERAM LOOP;7798115112574
70-196;BIDE CR C.CERAM LOOP;7798115112581
80-196;DUCHA EMB. C/TRANSF. CR C.CERAM LOOP;7798115112598
84-180;GRIFERIA DE PIE P/BAÑERA EXENTA VERA;7798115112611
62-196;LAVATORIO DE PARED CR C.CERAM LOOP;7798115112628
80-198P;DUCHA DE EMBUTIR C/TRANSF PLUS PURA;7798115112635
90-166;PACK GRIF. ADRA PLUS (Lav-Bide-Ducha c/t Plus);7798115112642
63-152;LAVATORIO PARED EMBUTIR CR MONOC. SORIA;7798115112659
63-192;LAVATORIO PARED EMBUTIR MONOCOMANDO SORIA BLACK;7798115112666
90-059;PACK GRIF.MALBA BL/CR (Lavatorio-Bide-Ducha c/t);7798115112680
90-058;PACK GRIF.MALBA CR (Lavatorio-Bide-Ducha c/t);7798115112697
80-200C;DUCHA EMB. MONOC. 3 FUNCIONES CR FABRIC;7798115112819
80-200G;DUCHA EMB. MONOC. 3 FUNCIONES GOLD FABRIC;7798115112826
80-200N;DUCHA EMB. MONOC. 3 FUNCIONES BLACK FABRIC;7798115112833
61-203;LAVATORIO MONOCOMANDO ALTO ADRA;7798115112840
70-203;BIDE MONOCOMANDO ADRA;7798115112857
80-203;DUCHA EMB C/TRANSF. MONOCOMANDO ADRA;7798115112864
83-203;DUCHA EXT C/TRANSF. MONOCOMANDO ADRA;7798115112871
60-061;LAVATORIO CR C.STD PUEBLA;7798115112888
70-061;BIDE CR C.STD PUEBLA;7798115112895
80-061;DUCHA EMB C/TRANSF CR PUEBLA;7798115112901
60-061N;LAVATORIO NG/CR C.STD PUEBLA;7798115112918
70-061N;BIDE NG/CR C.STD PUEBLA;7798115112925
80-061N;DUCHA EMB C/TRANSF NG/CR PUEBLA;7798115112932
60-061B;LAVATORIO BL/CR C.STD PUEBLA;7798115112949
70-061B;BIDE BL/CR C.STD PUEBLA;7798115112956
80-061B;DUCHA EMB C/TRANSF BL/CR PUEBLA;7798115112963
80-353BV;DUCHA DE EMB 3 FUNCIONES BEAT ANTIQUE BRONZE;7798115112970
60-201BV;LAVATORIO C.CERAM BEAT ANTIQUE BRONZE;7798115112987
60-201NI;LAVATORIO C.CERAM BEAT NICKEL;7798115112994
70-201NI;BIDE CR C.CERAM BEAT NICKEL;7798115113007
70-201BV;BIDE C.CERAM BEAT ANTIQUE BRONZE;7798115113014
80-201NI;DUCHA EMB C/TRANSF C.CERAM BEAT NICKEL;7798115113021
